ServiceNow,NOW
McDonald's Corporation,MCD
SAP SE,SAP
RadNet Inc.,RDNT
Rheinmetall AG,RHM.DE
GFL Environmental Inc.,GFL
Meta Platforms Inc.,META
Haier Smart Home Co. Ltd.,HAG.DE
Vulcan Energy Resources Ltd.,VUL.AX
Münchener Rückversicherungs-Gesellschaft AG,MUV2.DE
Xiaomi Corporation,1810.HK
Spotify Technology S.A.,SPOT
Roche Holding AG,ROG.SW
Walmart Inc.,WMT
Visa Inc.,V
Vertex Pharmaceuticals Incorporated,VRTX
Tokyo Electron Ltd.,8035.T
Norcros Holdings plc,NCH2.DE
TG Therapeutics Inc.,TGTX
Tesla Inc.,TSLA
TechnipFMC plc,FTI
Synopsys Inc.,SNPS
ALSPW (Alstom Warrants),ALSPW.PA
Siemens Energy AG,ENR.DE
Semtech Corporation,SMTC
Select Water Solutions Inc.,WTTR
Samsung Electronics Co. Ltd.,005930.KS
Salesforce Inc.,CRM
R3 Rheinmetall Autoteile (ETF/Instrument),R3RK.DE
Palantir Technologies Inc.,PLTR
Oracle Corporation,ORCL
O'Reilly Automotive Inc.,ORLY
NXP Semiconductors N.V.,NXPI
NVIDIA Corporation,NVDA
Novo Nordisk A/S,NVO
Nanobiotix S.A.,NBTX
Mitsubishi Heavy Industries Ltd.,7011.T
Microsoft Corporation,MSFT
Mastercard Incorporated,MA
KLA Corporation,KLAC
THK Co. Ltd.,6861.T
JPMorgan Chase & Co.,JPM
Iren SpA,IREN.MI
Incyte Corporation,INCY
International Business Machines Corporation,IBM
HP Inc.,HPQ
Shimadzu Corporation,7741.T
GE Vernova Inc.,GEV
ElringKlinger AG,ELG.DE
CrowdStrike Holdings Inc.,CRWD
Costco Wholesale Corporation,COST
The Coca-Cola Company,KO
Cloudflare Inc.,NET
Clean Harbors Inc.,CLH
Caterpillar Inc.,CAT
Capgemini SE,CAP.PA
Broadcom Inc.,AVGO
British American Tobacco plc,BTI
Boston Scientific Corporation,BSX
ASML Holding N.V.,ASML
Apple Inc.,AAPL
American Water Works Company Inc.,AWK
Amazon.com Inc.,AMZN
Alphabet Inc.,GOOGL
Allianz SE,ALV.DE
Alibaba Group Holding Ltd.,BABA
Daiichi Sankyo Company Ltd.,DKIA.F
DeFi Technologies Inc.,DEFT


